id,x,y
RalliSportChallenge2,539.0016396389883,450.51599999999996
TheClub,563.5016396389883,450.51599999999996
FinalFantasyXIUltimateCollection,588.0016396389883,450.51599999999996
MotionSportsAdrenaline,612.5016396389883,450.51599999999996
Section8,637.0016396389883,450.51599999999996
AllProFootball2K8,661.5016396389883,450.51599999999996
PanzerDragoonOrta,686.0016396389883,450.51599999999996
SupermanReturns,710.5016396389883,450.51599999999996
DeadlyPremonition,735.0016396389883,450.51599999999996
BattlestationsMidway,759.5016396389883,450.51599999999996
OutlawVolleyball,784.0016396389883,450.51599999999996
DungeonsDragonsHeroes,808.5016396389883,450.51599999999996
OddworldStrangersWrath,833.0016396389883,450.51599999999996
Legendary,857.5016396389883,450.51599999999996
GameofThrones,882.0016396389883,450.51599999999996
Exhibition,906.5016396389883,450.51599999999996
Amped2,931.0016396389883,450.51599999999996
DeadorAliveXtreme2,955.5016396389883,450.51599999999996
MenofValor,980.0016396389883,450.51599999999996
MotoGP07,1004.5016396389883,450.51599999999996
TheOutfit,73.50163963898831,475.01599999999996
DonKingPresentsPrizefighter,98.00163963898831,475.01599999999996
KungFuPanda2,122.50163963898831,475.01599999999996
SpiderManEdgeofTime,147.0016396389883,475.01599999999996
AmericasArmyRiseofaSoldier,171.5016396389883,475.01599999999996
ArmoredCore4,196.0016396389883,475.01599999999996
FarCryInstinctsPredator,220.5016396389883,475.01599999999996
GenmaOnimusha,245.0016396389883,475.01599999999996
CommandConquer3KanesWrath,269.5016396389883,475.01599999999996
AzurikRiseofPerathia,294.0016396389883,475.01599999999996
ZumbaFitnessWorldParty,318.5016396389883,475.01599999999996
4x4EVO2,343.0016396389883,475.01599999999996
DreamcastCollection,367.5016396389883,475.01599999999996
GIJoeTheRiseofCobra,392.0016396389883,475.01599999999996
Fallout3GameAddOnPackBrokenSteelandPointLookout,416.5016396389883,475.01599999999996
PictionaryUltimateEdition,441.0016396389883,475.01599999999996
TheGodfatherUSOtherssales,465.5016396389883,475.01599999999996
AfroSamurai,490.0016396389883,475.01599999999996
DivinityIIEgoDraconis,514.5016396389883,475.01599999999996
BuffytheVampireSlayer,539.0016396389883,475.01599999999996
VivaPinataPartyAnimals,563.5016396389883,475.01599999999996
WorldSeriesBaseball,588.0016396389883,475.01599999999996
DiRTShowdown,612.5016396389883,475.01599999999996
PussinBoots,637.0016396389883,475.01599999999996
SoldierofFortuneIIDoubleHelix,661.5016396389883,475.01599999999996
BicycleCasino2005,686.0016396389883,475.01599999999996
ShellshockNam67,710.5016396389883,475.01599999999996
Tropico3,735.0016396389883,475.01599999999996
FullAuto,759.5016396389883,475.01599999999996
OverGFighters,784.0016396389883,475.01599999999996
BigLeagueSports,808.5016396389883,475.01599999999996
CollegeHoops2K7,833.0016396389883,475.01599999999996
Yoostar2,857.5016396389883,475.01599999999996
TenchuReturnFromDarkness,882.0016396389883,475.01599999999996
50CentBloodontheSand,906.5016396389883,475.01599999999996
StateofDecay,931.0016396389883,475.01599999999996
UnrealIITheAwakening,955.5016396389883,475.01599999999996
VampireRain,980.0016396389883,475.01599999999996
JSRFJetSetRadioFuture,1004.5016396389883,475.01599999999996
GregHastingsPaintball2,73.50163963898831,499.51599999999996
StokEd,98.00163963898831,499.51599999999996
